first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
0,1.5069276517760191e-06,1.508304276408948e-06,,1.845087,0.026335406333504528,0.027140921249969422,,0.02589854375,34.718299026396345,34.885222140320074,,33.04850384118172,5.450945720733737,5.449907961866437,,5.6562962962963,4.98074074074074,4.98074074074074,4.98074074074074,4.98074074074074,0.4702049799929968,0.469167221125697,,0.6755555555555599,,,,101325.0,,,,40.53,,,,800.0,1.540438774419951
1,1.506806846365669e-06,1.5081131469626816e-06,,1.404611,0.026375551093541668,0.027138146694046517,,0.02641351875,34.727589003699975,34.885361965237465,,34.84424402657557,5.449424051898135,5.448488252635223,,5.40470588235294,4.97764705882353,4.97764705882353,4.97764705882353,4.97764705882353,0.47177699307460497,0.470841193811693,,0.4270588235294097,,,,101325.0,,,,40.53,,,,800.0,1.5077894638663065
2,1.505992991389169e-06,1.507313621327694e-06,,1.833908,0.02635474420779938,0.027126537776205408,,0.013323743749999999,34.72615569237196,34.88594629724543,,26.54421594251341,5.443505300217422,5.442547845736593,,5.33876712328767,4.97205479452055,4.97205479452055,4.97205479452055,4.97205479452055,0.47145050569687186,0.47049305121604323,,0.3667123287671199,,,,101325.0,,,,40.53,,,,800.0,1.4387151551823736
3,1.5067764919272172e-06,1.5080967699856368e-06,,1.577711,0.026366769981428614,0.027137908835843518,,0.02059699375,34.725778106433644,34.88537389902135,,32.54049606639954,5.449322271319534,5.448366600875716,,5.27017857142857,4.97785714285714,4.97785714285714,4.97785714285714,4.97785714285714,0.47146512846239474,0.4705094580185767,,0.2923214285714302,,,,101325.0,,,,40.53,,,,800.0,1.475176542779991
4,2.3051274852718356e-06,2.307935844859302e-06,,2.44207206666667,0.03726311778778152,0.03832468688900168,,0.0369321,34.24042372405077,34.40659350433781,,33.57001183891969,10.441005896164814,10.439571657137389,,10.4535555555556,9.99111111111111,9.99111111111111,9.99111111111111,9.99111111111111,0.4498947850537043,0.44846054602627916,,0.46244444444448973,,,,101325.0,,,,40.53,,,,800.0,2.330791173956906
5,2.3062828431551667e-06,2.3091354882326423e-06,,2.2988439137931,0.03726254887290638,0.03834099288591283,,0.017087356465517248,34.23717502014192,34.40600646835229,,26.82764999159165,10.447468933739957,10.445991915463848,,10.3774137931034,9.99827586206897,9.99827586206897,9.99827586206897,9.99827586206897,0.44919307167098665,0.44771605339487763,,0.37913793103443005,,,,101325.0,,,,40.53,,,,800.0,2.15826522939841
6,2.304802538521788e-06,2.3076649367074676e-06,,1.24573111764706,0.03723793039127333,0.03832100406278322,,0.009656794852941188,34.23707133264817,34.406725969078195,,27.353630666705804,10.439610937495212,10.438121493411405,,10.6529411764706,9.99058823529412,9.99058823529412,9.99058823529412,9.99058823529412,0.4490227022010913,0.44753325811728395,,0.6623529411764792,,,,101325.0,,,,40.53,,,,800.0,1.8852241390739317
7,2.305262405001509e-06,2.3080944733079597e-06,,1.8484994,0.037255989098932324,0.03832684297069134,,0.015074659659090937,34.23885607804736,34.40651582073809,,28.005004045827835,10.441878600173501,10.440420746699719,,10.174,9.99236363636364,9.99236363636364,9.99236363636364,9.99236363636364,0.449514963809861,0.4480571103360784,,0.18163636363635938,,,,101325.0,,,,40.53,,,,800.0,2.084132640451822
8,2.3038845609626123e-06,2.306716560123923e-06,,2.36858440322581,0.03723656921089095,0.03830811246634064,,0.025756867641129062,34.239349002257605,34.407190332407275,,31.041890811960663,10.434503900968341,10.433043851161978,,10.3056451612903,9.985,9.985,9.985,9.985,0.4495039009683417,0.4480438511619784,,0.32064516129030096,,,,101325.0,,,,40.53,,,,800.0,2.2516270021349314
9,3.3571241528918024e-06,3.3621983029062865e-06,,3.25641477777778,0.051143945547599684,0.05243736481185267,,0.034861131944444436,33.847051856738965,34.001253366661174,,30.848823295431732,15.4037275184717,15.40185399980778,,15.6155555555556,14.9827777777778,14.9827777777778,14.9827777777778,14.9827777777778,0.42094974069389934,0.4190762220299806,,0.6327777777778003,,,,101325.0,,,,40.53,,,,800.0,3.3375431815718786
10,3.35975138630944e-06,3.3647298929497236e-06,,3.38261455882353,0.051202455548599965,0.05246950796397969,,0.020747688786764685,33.84942704312709,34.000319413541916,,24.029388167601727,15.41442781712489,15.412622300553632,,15.5735294117647,14.9923529411765,14.9923529411765,14.9923529411765,14.9923529411765,0.42207487594838966,0.42026935937713183,,0.5811764705881988,,,,101325.0,,,,40.53,,,,800.0,3.0357793839731717
11,3.3594614010698847e-06,3.3643429726298013e-06,,2.55209063829787,0.05122363951099445,0.052465264263851015,,0.01861652859042556,33.85275334897126,34.00054510082163,,26.590725413462106,15.41270271531072,15.410964334802362,,15.1002127659574,14.9893617021277,14.9893617021277,14.9893617021277,14.9893617021277,0.42334101318301975,0.42160263267466114,,0.11085106382969911,,,,101325.0,,,,40.53,,,,800.0,2.883269296957685
12,3.359335259370598e-06,3.3642575298323824e-06,,2.6458349047619,0.051211941776974586,0.05246433876121265,,0.020498444940476184,33.85148619544611,34.00059629206349,,27.37239269015832,15.412363930928308,15.410597996522368,,15.3566666666667,14.9895238095238,14.9895238095238,14.9895238095238,14.9895238095238,0.42284012140450855,0.4210741869985686,,0.36714285714290007,,,,101325.0,,,,40.53,,,,800.0,2.9946869712892656
13,3.3609401483014178e-06,3.3658543062151484e-06,,2.65978161538462,0.05123650749702212,0.05248609733599513,,0.01693911466346156,33.85148314467927,34.00019135299104,,24.601052279463286,15.41911894948794,15.417361000220529,,15.52,14.9961538461538,14.9961538461538,14.9961538461538,14.9961538461538,0.42296510333413906,0.42120715406672815,,0.5238461538461987,,,,101325.0,,,,40.53,,,,800.0,2.852668173600178
14,4.587624458962563e-06,4.593644408419384e-06,,4.11037162,0.06816538411010586,0.0692541822099588,,0.0322950835,33.666331870693526,33.764677586223335,,27.561790813009456,20.38050341980567,20.379021612563132,,20.6016,19.985,19.985,19.985,19.985,0.39550341980567083,0.39402161256313306,,0.6166000000000018,,,,101325.0,,,,40.53,,,,800.0,4.205842018865212
15,4.586364535144209e-06,4.592525804218198e-06,,4.8261851875,0.06812292725706509,0.06923818978172544,,0.036316349609375,33.66396840898997,33.76477344738518,,27.00913197118147,20.376072086081507,20.37452734373008,,20.42375,19.9821875,19.9821875,19.9821875,19.9821875,0.39388458608150856,0.39233984373008113,,0.44156249999999986,,,,101325.0,,,,40.53,,,,800.0,4.291515020021149
16,4.586764389538087e-06,4.592980292559273e-06,,3.4703335,0.06811942489165143,0.06924468689525812,,0.026789625390625,33.66301865927366,33.76473423028106,,27.355547100995384,20.377922482182388,20.376353379501445,,20.201875,19.9846875,19.9846875,19.9846875,19.9846875,0.3932349821823884,0.3916658795014456,,0.21718750000000142,,,,101325.0,,,,40.53,,,,800.0,3.93842302271835
17,4.586107418957593e-06,4.592514958175173e-06,,2.83855912162162,0.0680770959007384,0.06923803396365218,,0.018691689695945937,33.65976059059542,33.76477385316693,,25.141112006621963,20.37614090764235,20.37448390464841,,20.5443243243243,19.9851351351351,19.9851351351351,19.9851351351351,19.9851351351351,0.3910057725072491,0.38934876951331177,,0.5591891891892011,,,,101325.0,,,,40.53,,,,800.0,3.448411449357959
18,4.5859819338649886e-06,4.592329688277729e-06,,3.0139816097561,0.06808549148345291,0.06923538567500322,,0.018425105945121936,33.66079047202653,33.76478993308093,,23.962836092091827,20.37536896922687,20.373739527667112,,20.480243902439,19.9836585365854,19.9836585365854,19.9836585365854,19.9836585365854,0.3917104326414709,0.3900809910817138,,0.49658536585360125,,,,101325.0,,,,40.53,,,,800.0,3.420168813835017
19,5.671607288655062e-06,5.6759198903309435e-06,,6.39039542857143,0.08614755935917391,0.08675859494990718,,0.07417247321428562,33.80340036089491,33.84530353103899,,31.542080985315252,25.323266080486363,25.322299169672856,,25.5232142857143,24.9814285714286,24.9814285714286,24.9814285714286,24.9814285714286,0.3418375090577612,0.3408705982442548,,0.5417857142856981,,,,101325.0,,,,40.53,,,,800.0,5.741694317453676
20,5.671193031026448e-06,5.675452055825719e-06,,6.40810876190476,0.08614573893513833,0.08674917358196346,,0.06711313789682562,33.8037514313355,33.84513535799371,,30.655311515522467,25.320462733483744,25.31951461440241,,25.3153968253968,24.977619047619,24.977619047619,24.977619047619,24.977619047619,0.342843685864743,0.3418955667834105,,0.3377777777777986,,,,101325.0,,,,40.53,,,,800.0,5.630377107402187
21,5.6713715286114e-06,5.675639309776751e-06,,5.85100395384615,0.08614828098386654,0.0867529440556404,,0.06502357692307686,33.803736320190616,33.84520267858694,,31.196113522564524,25.32158023293748,25.3206289612298,,25.3083076923077,24.9789230769231,24.9789230769231,24.9789230769231,24.9789230769231,0.34265715601438274,0.3417058843067018,,0.3293846153846012,,,,101325.0,,,,40.53,,,,800.0,5.601531682756342
22,5.670158493558949e-06,5.674802604058675e-06,,2.74878217741936,0.08607748436204465,0.0867361027043601,,0.021506493245967748,33.79968957602368,33.84490094738427,,27.46432657208759,25.31673561142803,25.31565224932565,,25.5046774193548,24.9803225806452,24.9803225806452,24.9803225806452,24.9803225806452,0.336413030782829,0.3353296686804512,,0.5243548387095984,,,,101325.0,,,,40.53,,,,800.0,3.8992602730977244
