first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
0,7.3002585866021436e-06,7.299924977070024e-06,,5.88830414285715,0.06237051495770812,0.062363034186724384,,0.047445049163502874,28.649401356321277,28.64852170589915,,27.805232486413484,30.251280738577176,30.251285809899958,,30.0734285714286,29.9897142857143,29.9897142857143,29.9897142857143,29.9897142857143,0.2615664528628763,0.26157152418565843,,0.08371428571430073,,,,101325.0,,,,40.53,,,,800.0,6.564803237100739
1,7.300028604255502e-06,7.299766975913207e-06,,8.33055147058825,0.06236905233381579,0.06236318607168981,,0.06663357406647062,28.649497519533774,28.648807757596764,,27.730367475264913,30.25258466709781,30.252588796095463,,30.2558823529412,29.9897058823529,29.9897058823529,29.9897058823529,29.9897058823529,0.26287878474490967,0.2628829137425619,,0.26617647058829874,,,,101325.0,,,,40.53,,,,800.0,7.529641874087916
2,7.2998929712561955e-06,7.299651677684398e-06,,8.3324165277778,0.062368706727552396,0.06236329655123325,,0.05856444485042725,28.649652500279508,28.649016389942297,,26.02718259893997,30.253535040137994,30.253538914023924,,30.3352777777778,29.9902777777778,29.9902777777778,29.9902777777778,29.9902777777778,0.2632572623601952,0.26326113624612546,,0.3450000000000024,,,,101325.0,,,,40.53,,,,800.0,7.158911398257544
3,7.300363065985407e-06,7.300156174017581e-06,,7.25118166666665,0.06236744895667084,0.06236281085396224,,0.05808525319746056,28.64864857341776,28.648103215495812,,27.73848288993217,30.249374420524934,30.249377885199962,,30.3575,29.9855555555556,29.9855555555556,29.9855555555556,29.9855555555556,0.26381886496933404,0.2638223296443627,,0.3719444444444022,,,,101325.0,,,,40.53,,,,800.0,7.132586118308988
4,7.2999004336821e-06,7.299675992652095e-06,,7.025234,0.06236830536810556,0.06236327327339286,,0.0786054646040925,28.649564070153723,28.648972422098318,,31.265958148122344,30.253334969025072,30.253338637445726,,30.2811111111111,29.9897777777778,29.9897777777778,29.9897777777778,29.9897777777778,0.2635571912472727,0.2635608596679262,,0.29133333333330214,,,,101325.0,,,,40.53,,,,800.0,7.959653776914158
5,5.726888515745127e-06,5.721917314384421e-06,,4.50383019117647,0.059242730974705816,0.05909792864686912,,0.046976533759056124,30.718469189920867,30.703007305256797,,30.597304615682592,35.244950483379085,35.24502111513444,,35.2594117647059,34.9826470588235,34.9826470588235,34.9826470588235,34.9826470588235,0.26230342455558286,0.26237405631093935,,0.27676470588239965,,,,101325.0,,,,40.53,,,,800.0,5.305377223110091
6,5.725595478045193e-06,5.720909912441474e-06,,6.73569875,0.05923148475159789,0.059094947817127666,,0.06545456365544562,30.718825111323866,30.70424265318639,,29.91471344375582,35.24693583388839,35.246999310439,,35.43975,34.98325,34.98325,34.98325,34.98325,0.2636858338883883,0.2637493104390032,,0.45649999999999835,,,,101325.0,,,,40.53,,,,800.0,5.9140884477211015
7,5.723857561784564e-06,5.719056224706433e-06,,6.65874,0.05922943383908846,0.059089485105646114,,0.06356475902212312,30.721463867996736,30.706519623802027,,29.72622434034429,35.25057332371863,35.250639644524554,,35.32,34.9874285714286,34.9874285714286,34.9874285714286,34.9874285714286,0.26314475229003165,0.2632110730959525,,0.33257142857139854,,,,101325.0,,,,40.53,,,,800.0,5.914593484127202
8,5.727089322149175e-06,5.722053147349063e-06,,5.71756076923075,0.05924501564499124,0.05909833148151445,,0.05761517500627013,30.7185028930323,30.702840891745787,,30.275266673860134,35.244682102298086,35.24475441357231,,35.2023076923077,34.9826923076923,34.9826923076923,34.9826923076923,34.9826923076923,0.261989794605789,0.26206210588001255,,0.21961538461540187,,,,101325.0,,,,40.53,,,,800.0,5.768607029012955
