first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
0,8.031226931113506e-06,8.01851618868529e-06,,9.97027146666667,0.10320073247500301,0.10230339086577524,,0.07363637499999999,32.47478916550109,32.41848278836036,,26.720071990109357,30.34003506961993,30.34263178029864,,30.3793333333333,29.9893333333333,29.9893333333333,29.9893333333333,29.9893333333333,0.3507017362866307,0.35329844696533996,,0.39000000000000057,,,,101325.0,,,,40.53,,,,800.0,8.033361291426282
1,8.032575377730468e-06,8.019666760556785e-06,,11.2075056818182,0.10318751966493624,0.10227681116261965,,0.0982747414772725,32.47242710584274,32.41525491539618,,28.803164114201447,30.324900481671943,30.327652616047384,,30.2329545454545,29.9888636363636,29.9888636363636,29.9888636363636,29.9888636363636,0.33603684530834244,0.33878897968378396,,0.24409090909090025,,,,101325.0,,,,40.53,,,,800.0,8.60234909678028
2,8.032048179104425e-06,8.019192838174918e-06,,8.16731125714286,0.10319496268716781,0.1022878195518332,,0.11601762678571437,32.47352400927175,32.416588667878,,33.10672224351254,30.331146640335497,30.3338495826604,,30.296,29.9902857142857,29.9902857142857,29.9902857142857,29.9902857142857,0.3408609260497961,0.343563868374698,,0.3057142857142985,,,,101325.0,,,,40.53,,,,800.0,8.857603627195525
3,8.033067517776271e-06,8.020119102491615e-06,,7.59554243661972,0.10317957232014428,0.10226622142636986,,0.08088816901408437,32.471326881636614,32.41397547037808,,30.7671748240463,30.31890660733747,30.32170026783018,,30.2325352112676,29.9870422535211,29.9870422535211,29.9870422535211,29.9870422535211,0.33186435381637125,0.33465801430908115,,0.24549295774649948,,,,101325.0,,,,40.53,,,,800.0,8.242421799975967
4,8.032770687190959e-06,8.019831462541107e-06,,11.4640442857143,0.10318573951293543,0.10227296341992707,,0.15778596651785687,32.4720950728165,32.41478930793074,,32.86984974389189,30.322712387003065,30.325488733811653,,30.1142857142857,29.9889285714286,29.9889285714286,29.9889285714286,29.9889285714286,0.333783815574467,0.336560162383055,,0.12535714285710142,,,,101325.0,,,,40.53,,,,800.0,9.243557057760297
5,6.9021971322746334e-06,6.825402875511146e-06,,9.42518206666667,0.11215784189802548,0.10630975254274332,,0.0859201,34.145984444500286,33.877813141377004,,28.928926664672346,35.07068425691069,35.096778009777715,,35.2773333333333,34.9873333333333,34.9873333333333,34.9873333333333,34.9873333333333,0.08335092357739171,0.10944467644441858,,0.29000000000000625,,,,101325.0,,,,40.53,,,,800.0,7.288513878607754
6,6.825524410269359e-06,6.768723564543498e-06,,10.0889688888889,0.11077266639817504,0.10630434383330235,,0.12157456018518499,34.1397961623454,33.93272821098655,,31.70562193615029,35.22225514693092,35.2369556384905,,35.3162962962963,34.9822222222222,34.9822222222222,34.9822222222222,34.9822222222222,0.2400329247087214,0.2547334162683015,,0.3340740740741026,,,,101325.0,,,,40.53,,,,800.0,7.814737205739913
7,6.803927216817701e-06,6.752360769074789e-06,,3.40934195121951,0.11039561189263049,0.1063016353229042,,0.08368189939024374,34.13875864945564,33.948511986853745,,36.01519508232457,35.264788042798905,35.27697151288852,,35.4246341463415,34.9834146341463,34.9834146341463,34.9834146341463,34.9834146341463,0.2813734086526054,0.2935568787422227,,0.44121951219520383,,,,101325.0,,,,40.53,,,,800.0,7.191919584242258
8,6.811973250212725e-06,6.75863926254522e-06,,4.90063635483871,0.11052338331720443,0.10630273364106232,,0.07569855846774187,34.13842963688717,33.94245993788324,,33.64908883228932,35.24862901174473,35.26164080534245,,35.3087096774194,34.9812903225806,34.9812903225806,34.9812903225806,34.9812903225806,0.2673386891641343,0.2803504827618539,,0.3274193548388027,,,,101325.0,,,,40.53,,,,800.0,7.041417569534151
9,6.822591155663716e-06,6.766907269171929e-06,,4.891956,0.11069200815354521,0.1063040673952468,,0.17540015892857122,34.13799664947095,33.93448345146991,,37.28775057732163,35.22725842668938,35.241408027094344,,35.144,34.9785714285714,34.9785714285714,34.9785714285714,34.9785714285714,0.24868699811798223,0.26283659852294505,,0.165428571428599,,,,101325.0,,,,40.53,,,,800.0,8.295995955758883
10,4.354429060874133e-06,4.2765499492655875e-06,,7.16098871875,0.1113367419016416,0.10248019633583853,,0.111120525390625,36.47194837860479,36.2081731809804,,33.59018346085252,40.16697773024545,40.19735166673358,,40.3790625,39.9840625,39.9840625,39.9840625,39.9840625,0.18291523024544887,0.21328916673358123,,0.3950000000000031,,,,101325.0,,,,40.53,,,,800.0,5.510862557649596
11,4.333536779114621e-06,4.260848227226559e-06,,6.06030517808219,0.11081005603573096,0.10244138561494086,,0.16012966780821938,36.47267223842364,36.22244400835503,,36.29271202910792,40.19782942407254,40.22492588695171,,40.2645205479452,39.9876712328767,39.9876712328767,39.9876712328767,39.9876712328767,0.21015819119583767,0.23725465407500934,,0.2768493150685032,,,,101325.0,,,,40.53,,,,800.0,5.871967930003239
12,4.306631171076414e-06,4.240937337518993e-06,,5.80189885849057,0.11008425232737003,0.10239196697399394,,0.14629362794811313,36.471898511548964,36.240548037789374,,36.14252437575078,40.236986913175656,40.25985908150791,,40.3424528301887,39.9896226415094,39.9896226415094,39.9896226415094,39.9896226415094,0.24736427166625674,0.2702364399985129,,0.35283018867929883,,,,101325.0,,,,40.53,,,,800.0,5.765279291888439
13,7.416826257069772e-06,7.437339730160522e-06,,7.09346076923077,0.08706015796351908,0.08873783955320112,,0.06278752644230749,31.743562246346656,31.882910495439017,,28.932736930943147,25.40939405443416,25.40449529268555,,25.1973076923077,24.9819230769231,24.9819230769231,24.9819230769231,24.9819230769231,0.4274709775110601,0.4225722157624503,,0.2153846153846004,,,,101325.0,,,,40.53,,,,800.0,7.341699101135579
14,7.418459145844359e-06,7.4387045964285095e-06,,6.4612435862069,0.08709985060636743,0.08875454025443377,,0.08059902801724125,31.745561660163297,31.882921095974126,,32.14325375423976,25.41387547400896,25.40909820993239,,25.2496551724138,24.9834482758621,24.9834482758621,24.9834482758621,24.9834482758621,0.43042719814686237,0.42564993407029306,,0.2662068965517008,,,,101325.0,,,,40.53,,,,800.0,7.744990892166655
15,7.42000049908258e-06,7.439833188644787e-06,,7.11901453846154,0.08714874344916299,0.08876835554817192,,0.058860781089743554,31.748579781549978,31.882931640307127,,28.13683356237901,25.41749852201188,25.412907004792878,,25.384358974359,24.9823076923077,24.9823076923077,24.9823076923077,24.9823076923077,0.43519082970417955,0.43059931248517813,,0.4020512820512998,,,,101325.0,,,,40.53,,,,800.0,7.261089110411841
16,7.41688889196293e-06,7.437475366752358e-06,,5.45766336363636,0.08705569616899853,0.0887394995831872,,0.06311173011363624,31.74304489844631,31.882910930607665,,31.517337064008892,25.409886012325416,25.40495282987557,,25.2424242424242,24.9833333333333,24.9833333333333,24.9833333333333,24.9833333333333,0.4265526789921168,0.42161949654227016,,0.2590909090909008,,,,101325.0,,,,40.53,,,,800.0,7.360694075286586
17,5.4501257386058375e-06,5.473977696560942e-06,,6.56174894117647,0.06561679364104664,0.06850319112965525,,0.05693104816176468,32.00242529451158,32.32126912900862,,28.684798544576815,20.511112177235432,20.502977443542576,,20.3464705882353,19.9835294117647,19.9835294117647,19.9835294117647,19.9835294117647,0.5275827654707328,0.5194480317778769,,0.3629411764705992,,,,101325.0,,,,40.53,,,,800.0,5.62183582788857
18,5.452827543001785e-06,5.476468181733936e-06,,5.23507844186047,0.06567030800166028,0.06852707393168431,,0.03669851061046512,32.00505817474698,32.32035622131307,,25.985865383122853,20.51638483278728,20.50841644561748,,20.513023255814,19.986976744186,19.986976744186,19.986976744186,19.986976744186,0.5294080886012829,0.5214397014314827,,0.5260465116280031,,,,101325.0,,,,40.53,,,,800.0,5.190356896915063
19,5.4531170352605156e-06,5.4763909465722705e-06,,5.45911712121212,0.06571788023301403,0.06852633985084404,,0.08360340909090937,32.01069760189019,32.32038665244301,,33.61138771847219,20.515945642030786,20.50824737839399,,20.4118181818182,19.9833333333333,19.9833333333333,19.9833333333333,19.9833333333333,0.5326123086974874,0.5249140450606902,,0.42848484848490287,,,,101325.0,,,,40.53,,,,800.0,5.908321899811751
20,5.453034816259748e-06,5.476398102275321e-06,,5.99454461290323,0.06570618210400185,0.0685264068928695,,0.045432435282258064,32.00932886250533,32.320383518677374,,27.045301323157922,20.516026674192357,20.508263099333256,,20.538064516129,19.9841935483871,19.9841935483871,19.9841935483871,19.9841935483871,0.5318331258052567,0.5240695509461553,,0.5538709677419007,,,,101325.0,,,,40.53,,,,800.0,5.473262528663131
21,5.4500784887536234e-06,5.474139429288338e-06,,4.33754314705882,0.06559074437366645,0.068504738045691,,0.042585976838235305,31.99915593758682,32.321208535368726,,29.97246860536042,20.511624075573447,20.50333087785586,,20.3282352941176,19.9858823529412,19.9858823529412,19.9858823529412,19.9858823529412,0.5257417226322474,0.5174485249146592,,0.3423529411764008,,,,101325.0,,,,40.53,,,,800.0,5.325642803495331
