first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
0,1.6493634877611684e-06,1.6513888084906979e-06,,1.61278154761905,0.02099451169153147,0.021485088469352705,,0.029579238244047627,32.551727419998116,32.72391323475475,,34.68429294928426,5.615965402539377,5.615264217384726,,5.65714285714286,4.98238095238095,4.98238095238095,4.98238095238095,4.98238095238095,0.6335844501584269,0.6328832650037759,,0.67476190476191,,,,101325.0,,,,40.53,,,,800.0,1.6643915987408788
1,1.6487647912714464e-06,1.6507954102428672e-06,,1.78881441111111,0.02098607882113534,0.021478178683639517,,0.04203671791666669,32.55142619223084,32.724213900864584,,35.839402190800406,5.611331991648291,5.610624992546349,,5.72066666666667,4.97788888888889,4.97788888888889,4.97788888888889,4.97788888888889,0.6334431027594016,0.632736103657459,,0.7427777777777802,,,,101325.0,,,,40.53,,,,800.0,1.6886346964448269
2,1.6490983026038386e-06,1.6511500618712038e-06,,1.92355439534884,0.02098502256249989,0.021482308292340668,,0.04413409098837206,32.54941131055819,32.724034104014336,,35.74419176953916,5.614123646021502,5.613397841349381,,5.56372093023256,4.98116279069767,4.98116279069767,4.98116279069767,4.98116279069767,0.632960855323832,0.6322350506517109,,0.58255813953489,,,,101325.0,,,,40.53,,,,800.0,1.6694943914920986
3,1.6502511347029964e-06,1.6522802619484233e-06,,1.57847173529412,0.02100423024569697,0.0214954686190151,,0.0285305935661765,32.55111840897942,32.723461769042245,,34.622577440663186,5.622934433386169,5.622231282878547,,5.49911764705882,4.98941176470588,4.98941176470588,4.98941176470588,4.98941176470588,0.6335226686802882,0.6328195181726661,,0.5097058823529395,,,,101325.0,,,,40.53,,,,800.0,1.6421533904387156
4,1.6491628702431408e-06,1.651199054766183e-06,,0.957706711666667,0.020989516193285762,0.021482878863317144,,0.01314344375,32.55080361347531,32.724009333744995,,32.87886468318811,5.614492252061719,5.613780851428824,,5.763,4.98116666666667,4.98116666666667,4.98116666666667,4.98116666666667,0.633325585395049,0.6326141847621534,,0.7818333333333296,,,,101325.0,,,,40.53,,,,800.0,1.5869771052617632
5,2.3803429348278718e-06,2.3843538076918864e-06,,2.54646077108434,0.029292040570870533,0.029953024762595582,,0.07247674472891562,32.2696177145,32.43770597972022,,36.61448768383057,10.605608899714593,10.604610830633709,,10.4315662650602,9.98975903614458,9.98975903614458,9.98975903614458,9.98975903614458,0.6158498635700127,0.6148517944891285,,0.44180722891561963,,,,101325.0,,,,40.53,,,,800.0,2.4393591088436875
6,2.3805559280479047e-06,2.3846210388779106e-06,,2.84683552380952,0.029285960678184283,0.029956102470846853,,0.030699338541666687,32.26716877991437,32.43762755081864,,30.828737130666156,10.60725753274096,10.606223406108892,,10.7082142857143,9.99238095238095,9.99238095238095,9.99238095238095,9.99238095238095,0.6148765803600096,0.6138424537279423,,0.7158333333333502,,,,101325.0,,,,40.53,,,,800.0,2.395596774311448
7,2.380294168878142e-06,2.384359530065384e-06,,2.50117004081633,0.029282823089010878,0.02995309036674487,,0.027143646045918374,32.267195072630344,32.437704125444945,,31.003063270846845,10.605680137856682,10.604645388658287,,10.4836734693878,9.99081632653061,9.99081632653061,9.99081632653061,9.99081632653061,0.6148638113260727,0.6138290621276781,,0.49285714285718996,,,,101325.0,,,,40.53,,,,800.0,2.3374206156900845
8,2.380647899864018e-06,2.384702928751675e-06,,2.09978769512195,0.029288648249562236,0.029957045750663117,,0.023319349161585373,32.26760533115086,32.437603608190145,,31.119012587853398,10.607744672954455,10.60671752517238,,10.7625609756098,9.99268292682927,9.99268292682927,9.99268292682927,9.99268292682927,0.6150617461251855,0.6140345983431104,,0.7698780487805301,,,,101325.0,,,,40.53,,,,800.0,2.34288223681098
