first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
0,1.8213485910182506e-05,1.821349959520061e-05,,16.8325626317836,0.053140642805441,0.053142359198787195,,0.052263170442255244,5.066589765206992,5.067684778748358,,6.5815332600772,25.488251140244788,25.488269791863114,,25.0231870967742,24.0406870967742,24.0406870967742,24.0406870967742,24.0406870967742,1.4475640434705888,1.447582695088915,,0.9825000000000017,,,,101325.0,,,,40.52356422822584,,,,2281.7185569232097,17.87256403957621
1,1.9826997712066352e-05,1.9827037264094857e-05,,18.9338782236402,0.05795889301749675,0.05795888290324973,,0.05519221311007544,5.067539736375515,5.067462959907353,,4.312079753653346,27.693218133555746,27.693272680693404,,27.3888966666667,26.48763,26.48763,26.48763,26.48763,1.2055881335557466,1.2056426806934049,,0.9012666666667002,,,,101325.0,,,,40.5225526125,,,,2637.77147347189,19.139388878310022
2,2.1467219823109686e-05,2.1467281995841096e-05,,20.7845374692765,0.06287979960704844,0.06287840621060549,,0.06178815261887575,5.0678437538031815,5.066974505454681,,4.763393675290545,30.017723458754435,30.01781509690245,,29.9131451612903,29.0938096774194,29.0938096774194,29.0938096774194,29.0938096774194,0.9239137813350347,0.9240054194830485,,0.8193354838708977,,,,101325.0,,,,40.51862218306448,,,,3043.45236343273,21.33744319338936
3,2.287638684204792e-05,2.2876256059664584e-05,,22.1302017932505,0.06710775686156524,0.06710729825244074,,0.059748003662164935,5.066227177523807,5.066193828216825,,1.2100889315339138,32.23573308375783,32.23581985085001,,32.377664516129,31.6142516129032,31.6142516129032,31.6142516129032,31.6142516129032,0.6214814708546292,0.621568237946807,,0.7634129032258024,,,,101325.0,,,,40.52231564274198,,,,3505.81669057512,20.860397263748155
4,2.367993403518209e-05,2.3679778839754403e-05,,22.597993496505,0.06951460111472689,0.06951406253214902,,0.06097853379916062,5.066179527051965,5.066144525912165,,1.0542897655916392,33.74224591511626,33.74234294431352,,34.0853133333333,33.3334466666667,33.3334466666667,33.3334466666667,33.3334466666667,0.4087992484495544,0.4088962776468179,,0.7518666666666007,,,,101325.0,,,,40.52934476499996,,,,3850.96187015492,21.317486438548773
5,2.447677388902718e-05,2.4476649424207405e-05,,23.2022019122679,0.07193477650518634,0.07193434881991817,,0.061486792969567064,5.066126303328922,5.066101617334894,,0.17837966872997485,35.83489840974337,35.83500469437558,,36.4063032258064,35.7263741935484,35.7263741935484,35.7263741935484,35.7263741935484,0.1085242161949651,0.10863050082717507,,0.679929032257995,,,,101325.0,,,,40.52262615483875,,,,4363.33414056409,21.52266613416278
6,1.8219841618850918e-05,1.821987033310612e-05,,17.6481696629349,0.053144691715868386,0.05314502894742249,,0.06665316777230999,5.06667928054609,5.066843826516944,,12.261481609984276,25.496913372253925,25.49695250659925,,24.989264516129,24.0659967741935,24.0659967741935,24.0659967741935,24.0659967741935,1.4309165980604241,1.4309557324057494,,0.9232677419355007,,,,101325.0,,,,40.52534231854834,,,,2276.3291280998897,17.847726746168473
7,1.9350154758924635e-05,1.9350434631884678e-05,,18.9230050165236,0.056521742970025705,0.056524335918501326,,0.058787214339002435,5.066187006371386,5.067265526219629,,6.452860691917358,27.038704753402328,27.038713616944634,,26.6998966666667,25.7741066666667,25.7741066666667,25.7741066666667,25.7741066666667,1.264598086735628,1.2646069502779334,,0.9257899999999992,,,,101325.0,,,,40.51885762749997,,,,2532.3835195567003,19.102539332990485
8,2.0955048561893363e-05,2.095509027865968e-05,,20.0048570502223,0.06131989228890256,0.06131998126734861,,0.058282962217624495,5.066961156357436,5.06694081748951,,4.158349935314635,29.27428977590775,29.274349498999715,,29.17775,28.2676166666667,28.2676166666667,28.2676166666667,28.2676166666667,1.0066731092410492,1.0067328323330145,,0.9101333333332988,,,,101325.0,,,,40.52214393500003,,,,2927.04996984391,20.219502237615973
9,2.234807413729393e-05,2.234761998675846e-05,,20.8427985476736,0.06549831460134084,0.06549628012436318,,0.05721210391950681,5.066503379413945,5.066150041982361,,1.8972967012881439,31.36333106820148,31.36344339243425,,31.5188766666667,30.6297,30.6297,30.6297,30.6297,0.733631068201479,0.7337433924342491,,0.8891766666666996,,,,101325.0,,,,40.5231099,,,,3351.90718718966,20.03009218658137
10,2.339210062906783e-05,2.339212012262483e-05,,21.401497804493,0.06864864155743033,0.06864769336024162,,0.057330890447115,5.066750475740882,5.066244031745093,,0.8457884612458834,33.16710595980023,33.16720765245826,,33.5615166666667,32.6803866666667,32.6803866666667,32.6803866666667,32.6803866666667,0.48671929313353246,0.4868209857915602,,0.8811299999999989,,,,101325.0,,,,40.51976279750003,,,,3750.68848274618,20.149809719756853
11,1.828356849652283e-05,1.8283836686826665e-05,,17.5389413205551,0.05333505481914445,0.053336116215408215,,0.08856685025657875,5.066189009882713,5.066360124518567,,18.88788674563837,25.584093014259032,25.584121654109065,,25.0059933333333,24.1619833333333,24.1619833333333,24.1619833333333,24.1619833333333,1.4221096809257325,1.4221383207757654,,0.8440100000000008,,,,101325.0,,,,40.52498103500003,,,,2277.7766420830103,17.859974567260775
12,2.0357366186975855e-05,2.0357401173951645e-05,,19.3882811467748,0.05952768452913585,0.05952816671084239,,0.08493168315845437,5.066766100574469,5.066985840379417,,15.610704599756833,28.42934172072858,28.42939063967499,,28.0982533333333,27.3195733333333,27.3195733333333,27.3195733333333,27.3195733333333,1.109768387395281,1.1098173063416894,,0.7786800000000014,,,,101325.0,,,,40.5239205,,,,2740.05079722751,20.119727408208096
13,2.1551070134582445e-05,2.1551104676913887e-05,,20.7435929393432,0.06311406198054713,0.06311483404853392,,0.08634660852415499,5.06714339858204,5.067509813477201,,14.239144437319597,30.141663961869877,30.141715167106312,,29.9912419354839,29.2437032258065,29.2437032258065,29.2437032258065,29.2437032258065,0.8979607360633786,0.8980119412998135,,0.7475387096774,,,,101325.0,,,,40.518932695161254,,,,3056.03083639166,21.449242452667477
