first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
0,1.7542653301053716e-05,1.7542681156843077e-05,,15.9640375166464,0.051778290181912004,0.051776888683225275,,0.05260891585363287,5.068048447062878,5.067062905543196,,8.111335636920805,28.320071562729563,28.32018340251968,,27.4114633333333,26.2999266666667,26.2999266666667,26.2999266666667,26.2999266666667,2.020144896062863,2.020256735852982,,1.111536666666602,,,,101325.0,,,,40.5333335925,,,,2626.57294978669,17.311281721691373
1,1.8768625935220038e-05,1.8768960220076758e-05,,18.0591598726238,0.05553255185746996,0.05553543805799821,,0.047676227594564066,5.066173478853749,5.06732166463248,,0.03435467635163827,34.8533301703992,34.853337201070104,,34.98257,33.81502,33.81502,33.81502,33.81502,1.0383101703991997,1.0383172010701074,,1.1675500000000056,,,,101325.0,,,,40.527223695,,,,4079.3727644908795,16.635168068401985
2,1.7884465280787484e-05,1.867817368400434e-05,,15.5640417038385,0.05257756601314448,0.055249452400690506,,0.042550531701090244,4.90635913295403,5.066157899666862,,0.7832703124669789,40.02367377936651,39.90685623258519,,40.821264516129,39.6635612903226,39.6635612903226,39.6635612903226,39.6635612903226,0.3601124890439138,0.24329494226259385,,1.1577032258064008,,,,101325.0,,,,40.52997712016125,,,,5583.46625563739,14.967701816621918
3,1.4524821805164301e-05,1.6947377364101707e-05,,13.6653886740397,0.042136571665802466,0.04996901429475843,,0.03936980496313481,4.660646272534741,5.066116591757755,,1.9990383102455536,44.51917019674358,44.09363962524426,,45.4703933333333,44.3008133333333,44.3008133333333,44.3008133333333,44.3008133333333,0.21835686341027838,-0.20717370808904434,,1.1695799999999963,,,,101325.0,,,,40.529111717499966,,,,7107.7695362014,13.73632942962109
4,1.3200510186331713e-05,1.5363705923175216e-05,,13.9756140624794,0.038292262699441915,0.04516211472285948,,0.040735497922817554,4.746213741629184,5.066102869866668,,2.049897252627001,46.21174006032357,45.79999472200242,,47.3723451612903,46.0174322580645,46.0174322580645,46.0174322580645,46.0174322580645,0.1943078022590683,-0.2174375360620857,,1.3549129032257952,,,,101325.0,,,,40.531340104838755,,,,7882.78587078966,13.135484008023962
5,1.6916345012267672e-05,1.6916370099918714e-05,,17.2108619911603,0.04991221540074548,0.049911147229553705,,0.06015608524960812,5.067152500379393,5.066364957893654,,9.924965412401978,25.934687341098268,25.934778806988582,,25.0065566666667,23.5780866666667,23.5780866666667,23.5780866666667,23.5780866666667,2.3566006744315686,2.356692140321883,,1.4284700000000008,,,,101325.0,,,,40.52691972,,,,2307.55440548475,16.658341830807313
6,1.7975195587450973e-05,1.7975128413148435e-05,,19.4887257293315,0.05315553379278322,0.05315529367916661,,0.05307933712796725,5.066171951507229,5.066149661706298,,1.517332149034422,30.15454328632929,30.15463649613457,,29.6871064516129,28.3703838709677,28.3703838709677,28.3703838709677,28.3703838709677,1.7841594153615894,1.7842526251668716,,1.3167225806452016,,,,101325.0,,,,40.51884771290323,,,,3042.12274690263,17.870125366029
7,1.8779135983444358e-05,1.877946064436688e-05,,19.9021366438764,0.05559263101938028,0.05559374510302416,,0.05475802954948187,5.06613682745899,5.066209548392095,,1.469396039749177,34.95978425930917,34.959854947335536,,35.0924133333333,33.91253,33.91253,33.91253,33.91253,1.0472542593091703,1.0473249473355395,,1.1798833333333008,,,,101325.0,,,,40.53506625,,,,4093.25368506538,18.79235112374891
8,1.7507746196543534e-05,1.750778306789092e-05,,17.1054409726887,0.05167529113900466,0.0516725155423803,,0.07230366433249374,5.068212306392333,5.066293625158657,,14.681796623707871,28.180422744460355,28.180569730278943,,27.4122466666667,26.15469,26.15469,26.15469,26.15469,2.025732744460356,2.0258797302789446,,1.2575566666667015,,,,101325.0,,,,40.528010652500036,,,,2648.66920567235,17.311485336739253
