first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
0,1.311610942057154e-05,1.3116627893923193e-05,,12.7790821078224,0.03804606534215481,0.0380491327801934,,0.052092734784092244,5.066089560511905,5.067504338715153,,14.268514546747914,25.84794880617532,25.847933673034643,,25.0438433333333,24.18795,24.18795,24.18795,24.18795,1.6599988061753201,1.6599836730346418,,0.8558933333332988,,,,101325.0,,,,40.51808080250003,,,,2287.60064399352,12.934025654149957
1,1.3500640995683642e-05,1.3500701459095232e-05,,13.0195343865985,0.0391694057689104,0.039169601381522375,,0.04530092544505656,5.066126659349692,5.066142259295773,,9.945095860247166,27.71367445175668,27.71370936193256,,27.14422,26.1750866666667,26.1750866666667,26.1750866666667,26.1750866666667,1.5385877850899803,1.5386226952658575,,0.9691333333332999,,,,101325.0,,,,40.526413095,,,,2609.98941740021,13.39019652156537
2,1.395306502380557e-05,1.395353664840639e-05,,13.8103045195806,0.040509703535963,0.04051123878230076,,0.04435579175958006,5.066085954699481,5.066210207105101,,7.335205960096789,30.607398031348694,30.60741266072406,,30.1966903225806,29.2645806451613,29.2645806451613,29.2645806451613,29.2645806451613,1.342817386187395,1.3428320155627596,,0.9321096774193016,,,,101325.0,,,,40.52075981370968,,,,3104.07192355764,13.902386527792805
3,1.2981379365735233e-05,1.3032500774528358e-05,,13.1130846863585,0.03733111541745335,0.03749400636300745,,0.04340453318644156,4.783711877837817,4.796602632710226,,8.12779839267871,32.2161856993553,32.212584286361384,,31.8788322580645,30.9031290322581,30.9031290322581,30.9031290322581,30.9031290322581,1.3130566670972001,1.309455254103284,,0.9757032258063987,,,,101325.0,,,,40.53386015564521,,,,3418.5088510236696,14.079987505747118
4,1.0938781335997566e-05,1.0977419658866861e-05,,10.653708938724,0.031006624362835872,0.031124959343735083,,0.033155230017468555,4.3577964714988155,4.36638181152577,,5.960912609639168,35.77881397714427,35.77562481854205,,35.4679419354839,34.5231806451613,34.5231806451613,34.5231806451613,34.5231806451613,1.2556333319829704,1.252444173380752,,0.944761290322603,,,,101325.0,,,,40.53879239516135,,,,4170.18761438606,11.70180344951629
5,1.0003393349328004e-05,1.0036668138112833e-05,,9.45076698450449,0.02823436839008223,0.028334810042603253,,0.02651687464293194,4.243002122190248,4.249946187781525,,2.3870132113883087,37.45952367294127,37.456553096830454,,37.2330419354839,36.225764516129,36.225764516129,36.225764516129,36.225764516129,1.233759156812276,1.2307885807014571,,1.0072774193548995,,,,101325.0,,,,40.539714125806455,,,,4603.81335275875,9.477740722180071
6,8.857278304736719e-06,8.883966660242903e-06,,7.98980092220541,0.024940108179597395,0.02501952622363036,,0.02275057219165831,4.197779342945026,4.202859962428441,,2.6517234352744623,39.786821803087534,39.7841544586948,,39.5985838709677,38.5876290322581,38.5876290322581,38.5876290322581,38.5876290322581,1.199192770829434,1.1965254264367005,,1.0109548387096012,,,,101325.0,,,,40.53440600322583,,,,5243.79458448178,8.15424629920291
7,7.806729089024938e-06,7.827117979974082e-06,,4.87277278619416,0.022015927691196088,0.022076056452599024,,0.018563224257079437,4.30282249150487,4.306292202667606,,10.913559193453802,42.38026140284538,42.377968444911176,,42.2062766666667,41.2204566666667,41.2204566666667,41.2204566666667,41.2204566666667,1.1598047361786783,1.1575117782444764,,0.9858200000000039,,,,101325.0,,,,40.54227383499996,,,,5972.33104967314,6.656069172407645
8,6.831605912265836e-06,6.846067158350097e-06,,4.65966504754803,0.01936918049870605,0.019411673924156377,,0.01698658234577731,4.513377067478622,4.515550348929317,,9.357142967977264,44.78920543363066,44.7873739075208,,44.70426,43.66116,43.66116,43.66116,43.66116,1.1280454336306605,1.1262139075207998,,1.0430999999999955,,,,101325.0,,,,40.522555989999965,,,,6819.50947400225,6.040108745794193
