first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
0,5.932800311369221e-06,5.93280091566473e-06,,6.55721149197973,0.0174535296776917,0.017453760920983108,,0.020492073137687625,5.0675151682368025,5.067967959843855,,5.9853079092390375,30.418992258665224,30.419007592788166,,29.5171967741935,28.5353290322581,28.5353290322581,28.5353290322581,28.5353290322581,1.8836632264071227,1.8836785605300648,,0.9818677419353996,,,,101325.0,,,,39.74679043548385,,,,2861.20360460772,5.879351906533957
1,5.9070563922300685e-06,5.907260782299562e-06,,7.12874271216824,0.017386142623750135,0.017387194510970067,,0.024346277585905813,5.066108184541584,5.066991614486128,,8.37937525921232,32.7650815439759,32.765079430699586,,31.95019,30.9830933333333,30.9830933333333,30.9830933333333,30.9830933333333,1.7819882106426022,1.7819860973662855,,0.9670966666666985,,,,101325.0,,,,39.727816730000036,,,,3446.8634698673004,5.942403565511105
2,5.792526927426916e-06,5.792197177872979e-06,,6.9188056050803,0.017051833276229993,0.017049195551234336,,0.02733808056836625,5.069382319863756,5.066029979649933,,12.090945614744003,34.101242530062244,34.10133977584781,,33.3811548387097,32.3735516129032,32.3735516129032,32.3735516129032,32.3735516129032,1.7276909171590447,1.7277881629446128,,1.0076032258064984,,,,101325.0,,,,39.72089699516125,,,,3834.8455244681,5.862944171872497
3,5.654713723262055e-06,5.654135923696204e-06,,6.83157438860172,0.016637082972439033,0.016635183478049098,,0.026161159786777,5.066114781001211,5.065724806872019,,11.168150476899346,35.15569468758094,35.155777315553934,,34.4327333333333,33.4682066666667,33.4682066666667,33.4682066666667,33.4682066666667,1.6874880209142376,1.687570648887231,,0.9645266666666004,,,,101325.0,,,,39.73085985749999,,,,4145.55714992036,5.753585909860632
4,5.3130226430482934e-06,5.279434629007862e-06,,6.27314102524455,0.015612901704832557,0.015503342519205682,,0.023472562311975375,5.065991076179934,5.043185368493113,,10.316024378007818,37.04522378009227,37.04892093054507,,36.3737,35.4210290322581,35.4210290322581,35.4210290322581,35.4210290322581,1.6241947478341743,1.6278918982869754,,0.9526709677419021,,,,101325.0,,,,39.75875005403229,,,,4773.97457400651,5.448054078207862
5,4.499054661501945e-06,4.300509812286084e-06,,3.97099468160039,0.013176817535338918,0.012542841813293482,,0.016716595682810687,5.06598470833945,4.929165559717866,,12.737663444623333,40.21031535105655,40.236648791312504,,39.6287612903226,38.6531677419355,38.6531677419355,38.6531677419355,38.6531677419355,1.5571476091210528,1.5834810493770064,,0.9755935483871028,,,,101325.0,,,,39.84175157177417,,,,5953.034728142919,4.670032608367657
6,3.689946113056714e-06,3.658283770785679e-06,,1.53670017392264,0.010775934310316709,0.010676247220415373,,0.0094933505319725,5.065826825651563,5.043621049340409,,19.505571746108235,42.63760374342908,42.64250589623065,,42.1005774193548,41.0916548387097,41.0916548387097,41.0916548387097,41.0916548387097,1.5459489047193813,1.5508510575209513,,1.0089225806450983,,,,101325.0,,,,39.90937783790323,,,,7032.27078275783,3.29805264577592
7,2.5531748371130108e-06,2.552984226190684e-06,,1.12570870442211,0.007443672638162026,0.007443087735629937,,0.010649091881811375,5.066158022615042,5.066029361824732,,24.082119532965994,45.460601942296826,45.46066014567917,,44.9006633333333,43.85368,43.85368,43.85368,43.85368,1.6069219422968288,1.6069801456791737,,1.0469833333333014,,,,101325.0,,,,39.9225262275,,,,8327.75681927332,2.7961370583980436
8,1.0912832953567746e-06,1.0912080070888815e-06,,0.642394157752154,0.0031808862614881215,0.0031790524285624684,,0.009894541932072124,5.1047968496578875,5.087147018277136,,27.010150259750876,48.465570455707784,48.46571140941034,,47.64695,46.6788866666667,46.6788866666667,46.6788866666667,46.6788866666667,1.786683789041085,1.7868247427436401,,0.9680633333332977,,,,101325.0,,,,39.9104685525,,,,9752.84234082722,1.5174434299147201
