first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
0,7.037561736332574e-06,7.079009450267601e-06,,4.670833333333316,0.06859394005108028,0.0709843023628985,,0.03839761909621884,28.844544522490875,29.135254198632246,,26.94800923244181,21.076465801121802,21.07402324588469,,21.1,20,20,20,20,1.0764658011218025,1.074023245884689,,1.1000000000000014,,,,101325.0,,,,39.27357000000001,,,,599.4840900729389,6.072178385287989
1,8.44944981362096e-06,8.528031459642288e-06,,6.83208333333333,0.0670044551782836,0.06926042263252645,,0.07288917432321296,26.300462979524674,26.601310316694406,,29.621098854143767,26.051644354783736,26.04823561953743,,25.9,25,25,25,25,1.0516443547837362,1.0482356195374294,,0.8999999999999986,,,,101325.0,,,,39.118542749999996,,,,911.9721337045618,8.609876636185538
2,7.710495118138085e-06,7.8410229713889e-06,,4.773749999999978,0.04535056684489669,0.04695822902217872,,0.04253752127493876,21.75725053892584,22.064754626993338,,27.65114143568296,31.01857984597361,31.013601777756165,,30.7,30,30,30,30,1.0185798459736084,1.0136017777561648,,0.6999999999999993,,,,101325.0,,,,39.022284,,,,1995.5833189610075,7.469342853689509
3,5.622055880725039e-06,5.73962920177656e-06,,3.1429166666666886,0.029503962838145433,0.030542769477591346,,0.025899392815791088,19.972283584153196,20.238336972297787,,27.0121325803482,36.00692497449323,36.001360950389675,,35.8,35,35,35,35,1.0069249744932307,1.0013609503896745,,0.7999999999999972,,,,101325.0,,,,39.3080205,,,,3519.6356050623845,5.221540404661361
4,2.9285749518494043e-06,2.9667511451063647e-06,,0.10291666666666306,0.01756148159475979,0.01797254029994095,,0.011335847733884968,22.738592423960167,22.909632183735408,,38.73058268718395,41.020292375906834,41.01677712439288,,41.1,40,40,40,40,1.020292375906834,1.0167771243928811,,1.1000000000000014,,,,101325.0,,,,39.650498999999996,,,,5658.2854276956095,2.2259746406930656
5,5.653480667257015e-07,5.478918920226139e-07,,0.7973621103117505,0.010151460923000047,0.009418375411719696,,0.02253021184641435,33.79999460391649,33.548661295195444,,35.85985018965991,46.053284747409805,46.06212498321193,,46.2,45,45,45,45,1.0532847474098048,1.0621249832119304,,1.2000000000000028,,,,101325.0,,,,39.4458225,,,,7946.077463114819,0.6160111613352776
6,4.696714115133681e-06,4.723321448584806e-06,,3.989999999999971,0.06384467257820832,0.06608541357117362,,0.018564174240720786,31.67781218702851,31.889629540909418,,17.37621316765839,21.07972798745707,21.077376900504284,,21.1,20,20,20,20,1.079727987457069,1.0773769005042837,,1.1000000000000014,,,,101325.0,,,,39.154006499999994,,,,617.9636672623003,3.148244506649741
7,5.329406097571086e-06,5.373020643505739e-06,,4.654999999999997,0.0590554896309479,0.061042155485937014,,0.06119103133897694,29.990429138323258,30.215420471941915,,31.451964978356745,26.06184340089567,26.058763430434404,,25.9,25,25,25,25,1.0618434008956683,1.0587634304344036,,0.8999999999999986,,,,101325.0,,,,39.160086,,,,935.064813725477,5.359677328578916
8,4.779355323914356e-06,4.84336622765045e-06,,4.172083333333364,0.03960465908079509,0.0409335532948514,,0.04317632739933691,26.736862605142207,26.975062947458465,,29.196904784824113,31.03519411779111,31.03101743104528,,30.8,30,30,30,30,1.0351941177911108,1.0310174310452815,,0.8000000000000007,,,,101325.0,,,,38.987833499999994,,,,2018.8749988738984,4.953854172472103
9,3.4150010782058593e-06,3.467094613698487e-06,,1.5675000000000145,0.025898859994621062,0.02668456714423472,,0.019059466972910232,25.905056381274807,26.10038423581352,,30.949458434796888,36.023302725400924,36.018988784746924,,35.9,35,35,35,35,1.0233027254009244,1.0189887847469237,,0.8999999999999986,,,,101325.0,,,,39.28268925,,,,3602.3265514395484,2.9039270278174993
