first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
0,1.3770540320573941e-05,1.3720710717488057e-05,,12.181201716738215,0.2033825588609861,0.19669201180613163,,0.19216351183861563,33.182790711920546,32.976750230756316,,34.07663358077527,25.625680655631086,25.654743456640023,,25.7,25,25,25,25,0.6256806556310863,0.6547434566400234,,0.6999999999999993,,,,101325.0,,,,40.499602499999995,,,,652.9821627811843,13.68465440920345
1,1.3048241158495526e-05,1.2893502586307971e-05,,12.946094420600861,0.16134785199741067,0.15148616766689507,,0.1775580371514971,31.700607907201857,31.275884756031857,,32.946644156303265,30.056816770292325,30.133655378452215,,30.0,30,30,30,30,0.05681677029232546,0.13365537845221453,,0.0,,,,101325.0,,,,40.33444275,,,,1324.457123045115,13.25830731769102
2,1.1847202024672751e-05,1.154662389680979e-05,,12.946094420600861,0.13857132652866733,0.1260935820494574,,0.17611031457319992,31.269908824748796,30.664499853895137,,32.88996543338331,34.55204787887473,34.6920667942824,,33.9,35,35,35,35,-0.44795212112526883,-0.3079332057176032,,-1.1000000000000014,,,,101325.0,,,,40.33849575,,,,2066.6252781079106,12.589278929003612
3,9.944566566406815e-06,9.361954835908012e-06,,11.98141630901288,0.11646388168412429,0.09924767776747978,,0.15676969675012914,31.50968151742122,30.62394743452385,,32.76375649474915,39.023563360656475,39.303245433694805,,38.0,40,40,40,40,-0.9764366393435253,-0.6967545663051951,,-2.0,,,,101325.0,,,,40.5077085,,,,3134.2523555276775,11.136715458991166
4,6.8812185780432585e-06,4.587604228580914e-06,,8.40240343347641,0.10632971002284346,0.05898782363175256,,0.10199731043109939,34.31296427470024,33.07115198910215,,32.766612609992535,43.03936855235541,44.26436474916741,,42.5,45,45,45,45,-1.9606314476445874,-0.735635250832587,,-2.5,,,,101325.0,,,,41.113632,,,,5017.252668962643,7.401208228705059
5,1.7424571147757248e-06,1.7208386581530424e-07,,3.2308154506437585,0.13137410593491747,0.012335451828087938,,0.1451189802997504,40.602853835724126,40.58964496971622,,39.753524466667315,47.111813067260364,50.85766856550747,,46.2,50,50,50,50,-2.888186932739636,0.857668565507467,,-3.799999999999997,,,,101325.0,,,,42.009344999999996,,,,5987.306954011547,2.752616280221179
6,1.0458640981048601e-07,5.054387519539877e-09,,0.08562231759655355,0.11111599528099277,0.002105529600297483,,0.1346573621927317,43.30540485546816,43.16117217052573,,43.340162422295684,51.7826452036515,56.334190363747055,,49.7,55,55,55,55,-3.217354796348502,1.3341903637470551,,-5.299999999999997,,,,101325.0,,,,43.40459025,,,,7727.3890931416345,0.39831289550074317
7,1.8434079979004403e-05,1.8459341433496697e-05,,18.870224948875254,0.18007976695969802,0.18325037150847023,,0.2415578262822087,26.229478686546,26.394134800898684,,29.297224779106163,25.82550312234057,25.812169727498958,,25.5,25,25,25,25,0.8255031223405709,0.8121697274989579,,0.5,,,,101325.0,,,,37.212619499999995,,,,569.1178552307586,18.731676907011444
8,1.889844444506677e-05,1.8855645877824603e-05,,20.289979550102256,0.15380294041744402,0.15162183183887207,,0.2007291086375138,23.929022477548997,23.779966580687933,,26.773976029772644,30.215950569462773,30.23223779334141,,29.8,30,30,30,30,0.21595056946277325,0.2322377933414117,,-0.1999999999999993,,,,101325.0,,,,37.016049,,,,1220.3475143039882,19.507826152378033
