first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
0,1.7059504948034033e-05,1.7225461970016578e-05,,16.114651162790693,0.17400485594375897,0.20158552212740974,,0.4452350877268594,29.145308605301615,30.411225562565622,,36.420908643878406,30.812537273641862,30.647300111680988,,28.8,30,30,30,30,0.8125372736418619,0.6473001116809876,,-1.1999999999999993,,,,101325.0,,,,40.08822299999999,,,,706.7294603119026,17.109147202045083
1,1.624489087141874e-05,1.6219958848782205e-05,,14.114496124031003,0.14257661584641773,0.14143059904323568,,0.20425829368381573,27.767442828729134,27.69325614861188,,33.2871659612344,34.46928106237061,34.483803915840454,,34.1,35,35,35,35,-0.5307189376293877,-0.5161960841595459,,-0.8999999999999986,,,,101325.0,,,,40.2888465,,,,1923.3606726659493,17.04380892389807
2,1.319050537619218e-05,1.229218293105513e-05,,12.026705426356608,0.12741234663080797,0.10442551362198121,,0.12339645294317914,29.248524978386683,27.865978008214576,,30.668651007232043,38.207576414904736,38.66346058569068,,38.4,40,40,40,40,-1.7924235850952641,-1.3365394143093212,,-1.6000000000000014,,,,101325.0,,,,40.5441855,,,,3365.8598580937737,12.927184225458719
3,8.825169692582608e-06,6.772039419733378e-06,,6.191201550387592,0.10327711121478732,0.0642411709403069,,0.09036993233048994,32.392835035081895,30.4973696205802,,34.65725066726944,41.87031084864891,43.22916341142575,,44.3,45,45,45,45,-3.129689151351087,-1.770836588574248,,-0.7000000000000028,,,,101325.0,,,,41.59897875,,,,5737.128748752923,6.076250084181532
4,4.03430661585171e-06,2.2630035409357392e-06,,3.9178294573643235,0.09965137530619449,0.038411157690989406,,0.1230389469626437,37.742101285374446,35.986247963886356,,38.87210115525412,46.70568881130058,49.16415178398865,,47.1,50,50,50,50,-3.2943111886994174,-0.8358482160113496,,-2.8999999999999986,,,,101325.0,,,,42.098511,,,,6472.101885697091,3.7890089368162565
5,1.3839797503895217e-06,5.910140991737412e-07,,0.309302325581407,0.08927622690878732,0.019771970070654305,,0.15642352598784026,41.06938527282968,39.66215722259823,,42.52839863416289,51.767833335909984,55.13648753865435,,50.0,55,55,55,55,-3.232166664090016,0.13648753865435026,,-5.0,,,,101325.0,,,,42.7287525,,,,7311.1166907021825,2.0983831848112398
6,4.738146550476628e-07,1.5387699625589917e-07,,1.8609689922480688,0.06883084865526211,0.00890052615629272,,0.12040226285781958,42.04200271413425,41.00853407023122,,41.20418994215314,56.26641291827371,60.691053228385606,,54.1,60,60,60,60,-3.7335870817262915,0.6910532283856057,,-5.899999999999999,,,,101325.0,,,,42.77029575,,,,10221.510489640723,0.8064634928574186
7,1.1762663849522749e-05,1.1866047642483642e-05,,12.799961240310068,0.21720652699182091,0.23723968027557565,,0.3963871582431451,34.26302377013382,34.6761064203275,,37.173957540193896,30.48621449930487,30.383453424907614,,28.8,30,30,30,30,0.4862144993048716,0.38345342490761425,,-1.1999999999999993,,,,101325.0,,,,40.44590025,,,,754.5674151053712,12.210558339882313
8,1.0403443766804228e-05,1.025708104346749e-05,,12.21744186046514,0.1606212653700621,0.1512633657174419,,0.1922079196762208,33.179604792340676,32.8804376642499,,33.92729056644826,34.15136875452266,34.2627266855285,,34.3,35,35,35,35,-0.8486312454773426,-0.7372733144715014,,-0.7000000000000028,,,,101325.0,,,,40.36788,,,,2007.8303653771409,10.593537781531799
9,7.874611464771287e-06,7.047328757482662e-06,,9.346085271317826,0.1422296843299745,0.10714348588657431,,0.13178988694590257,34.748035210192135,33.74386345793657,,33.6534209261507,38.075061251759614,38.71005431612717,,38.2,40,40,40,40,-1.9249387482403861,-1.2899456838728298,,-1.7999999999999972,,,,101325.0,,,,40.839041249999994,,,,3248.74780373112,7.689125345178954
10,4.9388673516581794e-06,3.4487755778981193e-06,,5.299379844961255,0.11033950961172767,0.06127237707020744,,0.08243943732569509,36.69118636927024,35.61587296599343,,35.019734097474796,41.67949983149922,43.36045433457527,,44.0,45,45,45,45,-3.3205001685007787,-1.639545665424727,,-1.0,,,,101325.0,,,,41.533117499999996,,,,5723.086473422314,3.240957777103078
11,2.0462476150086516e-06,9.890802356099137e-07,,2.5465891472868205,0.1046072611133644,0.03497363985570043,,0.11769448636893542,39.94389057514614,39.127038032478204,,39.862543344969986,46.51598717942527,49.342210838962735,,47.1,50,50,50,50,-3.4840128205747334,-0.6577891610372646,,-2.8999999999999986,,,,101325.0,,,,42.05494125,,,,6549.299374368064,1.8148113704728142
12,6.493706906505373e-07,2.1529443489973924e-07,,0.10310077519379258,0.09144457978797037,0.017324593084132606,,0.13660832894557143,41.70419967220781,41.19234816868897,,42.388835690944546,51.374990310107705,55.23333462809461,,50.5,55,55,55,55,-3.6250096898922948,0.23333462809461025,,-4.5,,,,101325.0,,,,42.46530750000001,,,,7869.662072337232,0.821176148335521
13,1.6591364121618246e-07,3.819733823970157e-08,,1.5825968992248023,0.08035347682187138,0.008500844231175985,,0.13038303205840213,42.23010924288987,41.99233650918713,,41.220219950189566,56.3141714054277,60.84615281305478,,52.8,60,60,60,60,-3.6858285945722997,0.8461528130547791,,-7.200000000000003,,,,101325.0,,,,42.45010875,,,,9227.922444821843,0.4491268114817842
14,1.223609303250758e-05,1.228039704991266e-05,,9.580076628352487,0.10611024333407429,0.15261938521617216,,0.10054220867504143,28.058755543768513,31.587469513806113,,30.788196283251175,21.83506920399289,21.47760428330932,,21.2,20,20,20,20,1.8350692039928909,1.4776042833093186,,1.1999999999999993,,,,101325.0,,,,40.4428605,,,,565.221935146415,11.826712841498328
15,1.4742938600638337e-05,1.4892766042602014e-05,,13.384929757343562,0.12377752842683523,0.16089840345520648,,0.19496825557242364,26.377734670393423,29.059025942493506,,32.34781967131387,26.183011085114227,25.855736820989257,,25.5,25,25,25,25,1.1830110851142273,0.8557368209892573,,0.5,,,,101325.0,,,,39.3039675,,,,835.6926019274922,14.846415051290911
16,1.64007217617635e-05,1.6629424191707845e-05,,16.77192848020434,0.1394931416530741,0.16072191317799597,,0.2076183988857271,25.493682730619398,26.909509175214843,,30.191559293625488,30.34010367349789,30.12313642995883,,29.6,30,30,30,30,0.3401036734978895,0.12313642995883001,,-0.3999999999999986,,,,101325.0,,,,38.37684374999999,,,,1276.6109939377932,16.84091182620917
17,1.6584560095014343e-05,1.6794285673593954e-05,,15.963397190293746,0.14973309906618829,0.17259773566861794,,0.17598676452378725,26.270395121011184,27.621599360921643,,29.28313354924543,30.490212459763917,30.2918721817853,,30.0,30,30,30,30,0.49021245976391725,0.29187218178530117,,0.0,,,,101325.0,,,,38.474115749999996,,,,1081.6056184169724,16.75310027711431
18,1.613830434011e-05,1.6112049174712063e-05,,15.219412515964224,0.1504607831253854,0.1491784418448502,,0.16536122086402247,26.852681645999823,26.77867122390324,,29.36526433790252,34.49745902732949,34.512351910479765,,34.4,35,35,35,35,-0.5025409726705092,-0.48764808952023486,,-0.6000000000000014,,,,101325.0,,,,38.69095125,,,,1821.6323588128075,16.382323180261615
19,1.3271581296503888e-05,1.2415183056816373e-05,,9.444189016602813,0.11826046984113509,0.0992257698589087,,0.07439878907996832,28.165758005480676,26.91126677848348,,27.485410333218244,37.94177914363217,38.382408611453684,,39.7,40,40,40,40,-2.058220856367832,-1.617591388546316,,-0.29999999999999716,,,,101325.0,,,,40.347615,,,,3836.9088013680257,10.357380720245212
20,8.696895377391023e-06,6.68048172234385e-06,,6.2678160919540185,0.10650334431002313,0.06571289838858711,,0.06213977525859991,32.42034631046636,30.51867972409444,,31.01391968596211,41.98010791371183,43.31906343337853,,43.8,45,45,45,45,-3.0198920862881735,-1.6809365666214688,,-1.2000000000000028,,,,101325.0,,,,41.23420875,,,,5482.179641636478,6.16398891929187
21,3.650336638574853e-06,2.1407183201618185e-06,,4.756066411238825,0.1102551090539648,0.04139643537390375,,0.1251833502874923,38.00909487751635,36.21916664451794,,37.74429169969359,47.21673436785268,49.43877631232721,,46.5,50,50,50,50,-2.7832656321473195,-0.5612236876727934,,-3.5,,,,101325.0,,,,41.5939125,,,,5414.591441409023,4.231077206705824
